Training started: 30000 episodes
Learning rate: 0.001, Gamma: 0.99, Beta range: (0.1, 0.02)
--------------------------------------------------------------------------------
Episode 17100/30000 | return = -1.120 | loss = -13.504601 | len = 7
Episode 17150/30000 | return = 4.800 | loss = 11.179703 | len = 11
Episode 17200/30000 | return = -1.040 | loss = -12.727873 | len = 3
Episode 17250/30000 | return = -1.400 | loss = -52.292210 | len = 21
Episode 17300/30000 | return = -1.120 | loss = -23.502094 | len = 7
Episode 17350/30000 | return = 4.920 | loss = 0.013092 | len = 5
Episode 17400/30000 | return = 4.860 | loss = 2.091580 | len = 8
Episode 17450/30000 | return = -1.060 | loss = -13.367547 | len = 4
Episode 17500/30000 | return = 4.860 | loss = 2.388628 | len = 8
Episode 17550/30000 | return = 4.900 | loss = 2.699978 | len = 6
Episode 17600/30000 | return = 4.900 | loss = 0.796771 | len = 6
Episode 17650/30000 | return = -1.180 | loss = -32.401924 | len = 10
Episode 17700/30000 | return = 4.560 | loss = 12.865955 | len = 23
Episode 17750/30000 | return = 4.920 | loss = 0.102375 | len = 5
Episode 17800/30000 | return = -1.040 | loss = -6.110155 | len = 3
Episode 17850/30000 | return = 4.900 | loss = 1.797194 | len = 6
Episode 17900/30000 | return = 4.840 | loss = 5.800495 | len = 9
Episode 17950/30000 | return = -1.060 | loss = -3.607038 | len = 4
Episode 18000/30000 | return = -1.040 | loss = -6.690431 | len = 3
Episode 18050/30000 | return = 4.900 | loss = 0.163687 | len = 6
Episode 18100/30000 | return = 4.880 | loss = 1.247385 | len = 7
Episode 18150/30000 | return = -1.160 | loss = -53.051987 | len = 9
Episode 18200/30000 | return = 4.880 | loss = 1.069317 | len = 7
Episode 18250/30000 | return = -1.040 | loss = -1.995876 | len = 3
Episode 18300/30000 | return = 4.920 | loss = 0.001776 | len = 5
Episode 18350/30000 | return = 4.860 | loss = 2.808665 | len = 8
Episode 18400/30000 | return = 4.860 | loss = 1.013881 | len = 8
Episode 18450/30000 | return = 4.640 | loss = 14.239914 | len = 19
Episode 18500/30000 | return = 4.900 | loss = 1.079615 | len = 6
Episode 18550/30000 | return = 4.880 | loss = 1.305272 | len = 7
Episode 18600/30000 | return = -1.100 | loss = -18.022364 | len = 6
Episode 18650/30000 | return = 4.900 | loss = 0.825322 | len = 6
Episode 18700/30000 | return = -1.120 | loss = -17.419966 | len = 7
Episode 18750/30000 | return = -1.100 | loss = -14.127528 | len = 6
Episode 18800/30000 | return = 4.840 | loss = 2.272495 | len = 9
Episode 18850/30000 | return = -1.380 | loss = -60.199055 | len = 20
Episode 18900/30000 | return = 4.920 | loss = 0.059633 | len = 5
Episode 18950/30000 | return = -1.060 | loss = -6.439744 | len = 4
Episode 19000/30000 | return = -1.180 | loss = -13.962902 | len = 10
Episode 19050/30000 | return = 4.900 | loss = 0.624897 | len = 6
Episode 19100/30000 | return = 4.900 | loss = 2.091855 | len = 6
Episode 19150/30000 | return = 4.840 | loss = 5.041874 | len = 9
Episode 19200/30000 | return = 4.900 | loss = 0.390327 | len = 6
Episode 19250/30000 | return = -1.200 | loss = -30.081758 | len = 11
Episode 19300/30000 | return = -1.120 | loss = -34.368282 | len = 7
Episode 19350/30000 | return = 4.920 | loss = 0.179029 | len = 5
Episode 19400/30000 | return = 4.860 | loss = 5.339065 | len = 8
Episode 19450/30000 | return = 4.900 | loss = 0.530871 | len = 6
Episode 19500/30000 | return = 4.840 | loss = 1.064656 | len = 9
Episode 19550/30000 | return = 4.920 | loss = 0.003052 | len = 5
Episode 19600/30000 | return = -1.060 | loss = -2.276816 | len = 4
Episode 19650/30000 | return = 4.820 | loss = 2.003534 | len = 10
Episode 19700/30000 | return = 4.880 | loss = 0.407541 | len = 7
Episode 19750/30000 | return = -1.120 | loss = -17.862936 | len = 7
Episode 19800/30000 | return = 4.900 | loss = 0.240373 | len = 6
Episode 19850/30000 | return = 4.880 | loss = 2.934456 | len = 7
Episode 19900/30000 | return = -1.060 | loss = -11.158934 | len = 4
Episode 19950/30000 | return = 4.920 | loss = 0.006594 | len = 5
Episode 20000/30000 | return = 4.840 | loss = 0.276061 | len = 9
Episode 20050/30000 | return = 4.920 | loss = 0.047601 | len = 5
Episode 20100/30000 | return = 4.880 | loss = 0.437666 | len = 7
